question,date,old_tab,payee,description,amount_cents,docId
"who paid? (no box ticked, no card on the receipt, August or later)",2026-09-02,RECAST BIZ,The Home Depot,Husky 2-Tier Plastic 4-Wheeled Service Cart in Black (SKU 1000005206) incl. $7.0,15805,gm-1a0637f9de324f8d
"who paid? (no box ticked, no card on the receipt, August or later)",2026-08-19,RECAST BIZ,Advanced Repair Technology,ART SK101 Starter Kit (Flex-Tec HV epoxy wood repair system w/ 300LV dispensing ,20874,gm-1a01aa2812b9cc89
"who paid? (no box ticked, no card on the receipt, August or later)",2026-09-02,RECAST BIZ,Amazon.com,Camera Gimbal - Amazon order #111-1699514-3146617 - 1 Camera item (product not s,12661,gm-1a0622070be6c806
"who paid? (no box ticked, no card on the receipt, August or later)",2026-09-07,RECAST BIZ,Rosa's Cafe Tortilla Factory,"Meal at Rosa's Cafe Tortilla Factory (dine in, 09/07/26 5:50 PM, crew meal - 5 p",7219,gm-1a07e315889c322c
"who paid? (no box ticked, no card on the receipt, August or later)",2026-08-07,RECAST BIZ,American Airlines,"Airfare PIA-DFW, AA 5079, Aug 10 2026 (conf DYYUCB, ticket #0012366820762) incl.",61390,gm-19fde1e3203a1768
"who paid? (no box ticked, no card on the receipt, August or later)",2026-09-09,RECAST BIZ,Uber,Uber 4:18 PM Portland OR airport trip (airport surcharge $4.00; City of Portland,3239,gm-1a0888ae58f005e9
"who paid? (no box ticked, no card on the receipt, August or later)",2026-09-16,RECAST BIZ,Uber,Uber 11:58 AM Sep 16 2026 DFW Airport trip (DFW Airport Surcharge + DFW Terminal,9592,gm-1a0ab5d2e5a8921f
"who paid? (no box ticked, no card on the receipt, August or later)",2026-08-05,RECAST BIZ,Shell,Fuel - 17.021 gallons,6466,gm-19fd41148faee741
"who paid? (no box ticked, no card on the receipt, August or later)",2026-08-07,RECAST BIZ,Shell,Gas,7696,gm-19fdd35803f9b383
"who paid? (no box ticked, no card on the receipt, August or later)",2026-09-05,RECAST BIZ,Shell,"Fuel - 13.133 gallons (pump display, This Sale $49.89)",4989,gm-1a06f0f01ef0ea25
"who paid? (no box ticked, no card on the receipt, August or later)",2026-09-06,RECAST BIZ,Tom Thumb express,Fuel - 22.318 gal @ $3.539 (pump display),7898,gm-1a07796cc6f0bfa8
"who paid? (no box ticked, no card on the receipt, August or later)",2026-08-01,RECAST BIZ,"Anthropic, PBC","Auto-recharge credits (Anthropic API), receipt #2142-9322-5168, invoice A90U2FHF",1009,gm-19fbee3afeeecc0a
"who paid? (no box ticked, no card on the receipt, August or later)",2026-08-01,RECAST BIZ,"Anthropic, PBC","Auto-recharge credits (Anthropic API), receipt #2121-0703-9633, invoice A90U2FHF",1032,gm-19fbe56019131180
"who paid? (no box ticked, no card on the receipt, August or later)",2026-08-01,RECAST BIZ,"Anthropic, PBC","Auto-recharge credits (Anthropic API) — receipt #2135-8253-3824, invoice A90U2FH",1008,gm-19fbdd2ef4ea4e0d
"who paid? (no box ticked, no card on the receipt, August or later)",2026-08-03,RECAST BIZ,"Adobe, Inc.","Adobe Illustrator (monthly subscription, Order ID BL3538610315)",3449,gm-19fc8cafdd8c851d
"who paid? (no box ticked, no card on the receipt, August or later)",2026-08-22,RECAST BIZ,"Anthropic, PBC","Auto-recharge credits (Anthropic API), receipt #2540-4444-8353, invoice A90U2FHF",1357,gm-1a02bac74ca39cab
"who paid? (no box ticked, no card on the receipt, August or later)",2026-08-22,RECAST BIZ,"Anthropic, PBC","Auto-recharge credits (Anthropic API), receipt #2592-0542-6839, invoice A90U2FHF",1026,gm-1a02bac54f55c07c
"who paid? (no box ticked, no card on the receipt, August or later)",2026-08-22,RECAST BIZ,"Anthropic, PBC","Auto-recharge credits (Anthropic API), receipt #2592-0542-6839, invoice A90U2FHF",1026,gm-1a02b9f45ae9625c
"who paid? (no box ticked, no card on the receipt, August or later)",2026-08-22,RECAST BIZ,"Anthropic, PBC","Auto-recharge credits (Anthropic API), receipt #2540-4444-8353, invoice A90U2FHF",1357,gm-1a02ba5fbeb12517
"who paid? (no box ticked, no card on the receipt, August or later)",2026-08-23,RECAST BIZ,"Adobe, Inc.","Adobe subscription (Qty 1, Order ID BL3558963587, via PayPal)",3449,gm-1a03123300dc1f52
"who paid? (no box ticked, no card on the receipt, August or later)",2026-08-24,RECAST BIZ,"Anthropic, PBC","Auto-recharge credits (Anthropic API), receipt #2115-1945-9518, invoice A90U2FHF",1003,gm-1a036c42cfee9fb1
"who paid? (no box ticked, no card on the receipt, August or later)",2026-08-24,RECAST BIZ,"Anthropic, PBC","Auto-recharge credits (Anthropic API), receipt #2716-1965-0164, invoice A90U2FHF",1033,gm-1a03684911c406b7
"who paid? (no box ticked, no card on the receipt, August or later)",2026-08-24,RECAST BIZ,"Anthropic, PBC","Auto-recharge credits (Anthropic API), receipt #2929-8845-3599, invoice A90U2FHF",1019,gm-1a03655e62fd3a7b
"who paid? (no box ticked, no card on the receipt, August or later)",2026-09-03,RECAST BIZ,"Adobe, Inc.","Adobe Illustrator subscription (Qty 1, Order ID BL3569536805, paid via PayPal)",3449,gm-1a069feb80d70f06
